	mock_1	mock_2	mock_3	SUPP1331_1	SUPP1331_2	SUPP1331_3	DC3000_1	DC3000_2	DC3000_3	delta_1	delta_2	delta_3
AT2G36380	72	79	72	131	202	89	1714	1410	1166	71	98	145
AT2G36390	845	491	825	272	202	485	430	234	339	477	216	286
AT2G36400	42	1	36	4	10	0	0	0	0	14	0	3
AT2G08795	0	0	0	0	0	0	0	0	0	0	0	0
AT2G36410	2723	1096	1392	961	1114	1111	616	613	599	1771	977	1208
AT2G36420	405	171	396	436	234	495	87	213	276	627	231	461
AT2G36430	242	161	304	87	86	167	31	21	86	153	68	77
AT2G36440	0	0	0	0	0	0	0	0	0	6	0	4
AT2G36450	0	0	0	0	0	0	0	0	0	0	0	0
AT2G36460	6470	2567	3745	4604	4696	3410	1668	2156	2447	6697	2871	4709
AT2G36470	356	131	185	393	348	294	178	150	290	532	285	310
AT2G36480	31	6	12	48	30	34	35	85	63	87	56	55
AT2G08800	0	0	0	0	0	0	0	0	0	0	0	0
AT2G36490	438	101	338	227	97	229	189	89	151	243	98	170
AT2G36500	17	20	33	9	10	41	0	8	0	42	0	31
AT2G36510	0	0	0	0	0	0	0	0	0	0	0	0
AT2G36520	0	0	0	0	0	0	0	0	0	7	0	0
AT2G36530	7975	3697	4635	6888	6025	6201	6540	5673	9314	8168	5280	8754
AT2G36540	0	0	0	0	0	0	0	0	0	2	1	0
AT2G36550	0	0	0	0	0	0	0	0	0	0	0	0
AT2G36560	0	0	0	0	0	0	0	0	0	0	0	0
AT2G36570	46	56	93	32	54	30	23	5	34	19	31	42
AT2G36580	475	223	379	987	718	1106	597	485	1896	904	652	1121
AT2G36590	40	95	98	36	64	52	230	134	167	90	63	84
AT2G08805	0	0	0	0	0	0	0	0	0	0	0	0
AT2G36600	0	0	0	0	0	0	0	0	0	0	0	0
AT2G36610	0	0	0	0	0	0	0	0	0	0	0	0
AT2G36620	4395	1601	2294	1894	2477	2395	1295	1900	2738	3250	1847	3813
AT2G36630	95	60	77	144	114	112	239	132	286	89	131	192
AT2G36640	0	0	0	6	0	0	0	6	1	0	0	0
AT2G08815	0	0	0	0	0	0	0	0	0	0	0	0
AT2G36650	5	14	7	1	33	5	21	114	11	44	23	15
AT2G36660	0	0	0	0	0	0	0	0	0	0	0	0
AT2G36670	220	113	184	836	757	595	365	437	662	882	571	931
AT2G36680	140	136	123	222	217	191	160	109	217	292	184	228
