	DC3000 - mock	SUPP1331 - mock	delta - mock
AT5G23820	1.73314205444225	-0.187341743386965	-1.77176500899076
AT5G23950	2.56283713790257	2.12598196620347	0.833440430952066
AT5G23980	-4.51269612935646	-3.38330493882891	-1.92284106928311
AT5G24290	3.45941008616567	1.6996659588609	0.460110057719355
AT5G04105	0.395496277840437	-0.637056592797399	-2.63482210876128
AT5G27400	-1.27259687728297	-2.15662781076087	-0.796806163339438
AT5G35740	-3.4175098129999	0.158430861029222	-1.50948516358499
AT5G35750	-4.1597582766134	-2.95008607208908	-5.13130956474846
AT5G37260	-2.4634235904366	-3.55696283996936	-1.68806887782019
AT5G37490	1.37725470443551	3.27987454814857	1.80188710325449
AT5G37570	-1.62041181855346	-0.348298191238749	-2.27342031691452
AT5G38110	2.38581996679335	-0.266927067078087	1.79157616628328
AT5G38860	-0.872380924832727	-1.11801753569954	-2.5090692619433
AT5G39240	-3.18168281060058	-2.04947207776222	-0.543498554278716
AT5G40040	3.65447693024866	2.40428876159841	4.19658649169669
AT5G40080	-0.667814744233	-2.74055116239239	-1.40862063076365
AT5G40405	-0.516996883913142	-1.49069975788973	-2.89962877117567
AT5G41760	-2.72513487915018	-0.372929584098687	-1.52096876970347
AT5G06305	0.210268695994984	0.260390889823745	-2.06633420892056
AT5G43180	3.65523134902037	1.97096036351347	3.07021236400552
AT5G43400	1.32431447892792	0.260015105260725	1.41434103114873
AT5G43650	7.45578110573294	1.9596748121256	5.33312988796671
AT5G44430	2.91769113186066	-0.585964110426624	-2.07930758559888
AT5G44490	-4.06052304110375	-2.82610414066661	-1.71682603371593
AT5G44660	-4.67463882818921	-2.28229080711145	-3.838708436298
AT5G45790	-3.06391474226252	-1.1519258754663	-2.16689317956095
AT5G06880	2.56971232631566	2.82214453398005	0.314724547443524
AT5G47940	-2.45807344728185	-1.25063532351691	-0.107244712347348
AT5G48360	-3.38830969689009	-5.47103071104833	-3.7164319203237
AT5G48430	3.40966831169835	2.37122422810828	4.24687424130146
AT5G49170	-4.78550008048264	-5.5322983967375	-2.99628160300711
AT5G49215	-2.00193861691711	-1.52544351092209	-2.91297242967965
AT5G49360	-2.89100487930835	-3.68961954396139	-2.62043118324196
AT5G49500	-1.70166956203476	-0.457051352556854	-2.0210897886403
AT5G07455	4.42891452359579	3.63933028541695	4.82047354163772
AT5G50915	-3.07081621905409	-2.43068246626944	-1.35733103168824
AT5G51060	5.66528950207281	-0.71090981406432	1.41846483939998
AT5G51150	-0.400204569371593	-0.300897210487749	-2.16424633370354
AT5G51350	-2.5585294367807	-0.696402284487167	-2.02414122364195
AT5G51560	-3.97577106960018	-3.06502593666887	-5.69827068653734
AT5G51950	-1.25121979489597	-0.897735190309062	-2.08395572143383
AT5G52250	3.13555004877394	-1.07858795844099	0.263170384156864
AT5G52330	3.61705672462466	0.205685664906073	-1.01172917454152
AT5G52850	-2.56110000470882	-0.43743880944308	-3.22984435419728
AT5G53070	-0.808773146836679	-3.16694034989169	-1.17122221072681
AT5G53890	-0.359501616046318	-0.244264792344007	-1.49960565310039
AT5G54585	-1.98943831794039	-2.02074030844244	-3.37945727675581
AT5G56130	-0.309231666608225	-0.528032136975095	-1.7676921830274
AT5G56540	0.311015900403702	0.632842951785738	2.0123636164885
