	DC3000	delta	mock	SUPP1331
AT1G31920	0.619438461389457	1.16299227286578	3.27825154223001	1.51665480532305
AT1G31930	3.54631840033326	4.36213630665519	4.53419372618203	4.55741023981342
AT1G31940	2.33342788487084	1.9648223613303	2.48137336845164	2.59022154004205
AT1G31970	7.75196165618693	7.44557877290134	7.44287187520227	7.54923631117807
AT1G32050	7.45361574278266	7.6541755283644	7.5072599899237	7.62098902038039
AT1G32060	7.28870340146218	8.46522322387904	10.4195097249789	8.48596157306354
AT1G32070	4.87787106898639	5.14908240764688	5.89755749642492	5.18000220653938
AT1G32080	5.55585165612077	6.00661343723355	7.13688309403443	5.89563847694526
AT1G32090	3.30145836369261	3.54027884425421	4.94873226680531	3.51637095525595
AT1G32127	6.06418568341888	6.61368961819439	3.19875403639883	6.18758539551731
AT1G32130	7.74675143480598	8.15500781513441	7.1644741530526	7.9697021699343
AT1G32150	3.69523324434812	4.08180049314854	3.10518337141977	4.36364456534102
AT1G32160	5.90462705563908	5.87924079284873	6.13191976951117	5.80929464869198
AT1G32170	2.81253520240963	2.76720982112723	2.72242193733786	2.72193853253397
AT1G32190	1.88757485991658	1.92394106010113	2.00496140284699	1.15686735060381
AT1G32200	4.38369208358658	4.9899765793891	6.34617123579103	5.08850490882865
AT1G32210	6.58499822276885	6.60130872891336	6.07044151018816	6.67243724931295
AT1G32220	4.22597434004287	4.17104350165519	5.11081516972776	4.2811300365526
AT1G32230	7.93789573013993	8.16261739193474	7.45217430866179	8.10679523538031
AT1G32240	-1.75764748466942	-0.744452497718294	0.156303042589423	-0.508486322422791
AT1G32260	2.38184507793722	2.85800031346804	2.04144221639606	2.35170227126756
AT1G32270	0.515322221719649	-0.707091669067879	-1.33284780434654	0.534152468690761
AT1G32310	1.10156695828727	1.83561290810218	1.36110340109481	2.00086040012691
AT1G32330	2.37093522976621	3.11428595719165	0.666586000688998	2.37753529549043
AT1G32340	3.5022831470968	3.14085366315623	1.96099378105641	3.06410206497102
AT1G32350	1.15846585503531	-0.419281063890469	-3.34098903756647	1.46875103750767
AT1G06537	4.27881167734789	4.05941242202488	3.87877119529117	4.77756408297193
AT1G32360	5.50794745610407	5.81043110525836	5.83373491521875	5.74455076925746
AT1G32370	3.83628148367846	3.39906134611076	3.46738014435935	3.40221536331383
AT1G32380	5.64090223832166	4.64632061193009	2.79290224461778	4.34999486759389
AT1G06553	1.13264764440494	0.94177028281413	1.54579573198214	2.00691817891116
AT1G32400	6.12700329741991	5.7854864895813	5.87551559570007	5.69017451039326
AT1G32410	5.77280757808908	5.09133658375542	4.99879038085567	5.53931842032635
AT1G32415	2.81003369103314	2.50709276146614	3.24548871330392	2.68637593908784
AT1G32440	3.70959412171286	3.22985538487278	3.42841528409496	3.40827790197411
AT1G32450	-0.139515597630124	0.81419692786848	1.18834539754509	0.760194783492603
AT1G32460	4.66660785896932	4.47480582989541	3.98379283628122	4.35991440070811
AT1G32470	5.08221426413017	5.58445981144076	7.00310711898507	5.57342815646526
AT1G32490	5.17904308397817	5.25858275133737	4.33078897285917	5.1531723773326
AT1G32500	3.49785732204061	3.6221965146869	4.76076965056301	3.88134652006193
AT1G32520	2.7576895245179	3.10944874869518	4.08923397524172	2.90652670848231
AT1G32530	5.68853754569989	5.54641692920476	4.15741447158454	5.14476506475669
AT1G32540	2.99457072211048	3.21589951302517	5.39843412976549	3.23107255418752
AT1G32550	2.52173939096377	3.61176034318046	5.02475808557557	3.29570132765682
