	DC3000 - mock	SUPP1331 - mock	delta - mock
AT1G11820	-2.05420199925279	-1.60847867864687	-1.0123166926243
AT1G11860	-2.39606180163169	-1.84138433726864	-1.82948985138208
AT1G11905	2.38948777036536	1.84366874560073	2.0914342505925
AT1G11950	0.0506329194625357	0.337662051453499	1.27793432330194
AT1G12010	-3.48158712698115	-1.94491828350296	-1.91062634895538
AT1G12020	-1.39955014800514	-0.566167207484675	-0.812369531210813
AT1G12060	-2.69422651311075	-1.63909550228004	-3.43917916648457
AT1G12090	-3.64918692553034	-2.64859129513153	-2.70552248699224
AT1G04933	-2.53449759274699	-1.97549098153858	-2.40237929369071
AT1G12200	0.863361540693081	1.42903219211669	1.0897403740742
AT1G12210	1.65164568445403	1.15184666804552	1.65984681796151
AT1G12220	-3.45251645826837	-0.582929997462414	-0.221521003192461
AT1G12230	-1.01012217370501	-0.988391773720998	-0.657215749683387
AT1G12240	-0.897044678343016	-1.76780001512945	-1.32963732000182
AT1G12244	-3.74713018734838	-6.35378653280164	-3.5486913899828
AT1G12250	-2.0482298656088	-1.20891202868687	-1.34850163351964
AT1G12280	-2.64953316488588	-1.33696028282207	-3.18463260643598
AT1G12290	1.11793903450571	1.95287155307215	2.09406603028116
AT1G12320	2.8051985630487	1.42018111609034	1.30195644980083
