	DC3000	delta	mock	SUPP1331
AT1G03620	1.49130328142203	1.17865782210399	1.2078289974483	0.823062842347691
AT1G03630	0.170689472729859	0.152672852499902	0.141881117336221	0.185650615559295
AT1G03650	0.515021340559788	0.404784241363466	0.489146912915231	0.489332782279338
AT1G03660	0.519844840505703	0.395466267106924	1.19208162294431	0.48637565109373
AT1G03680	0.13586626914492	0.125916766385773	0.118517586042435	0.153478475897023
AT1G03687	1.00103861786207	1.18088198582583	0.804993321617428	0.968378211953884
AT1G03730	0.284488778993759	0.253257734864525	0.327274418541902	0.317551635281072
AT1G03740	0.216768889883144	0.214117378199667	0.235447353068106	0.268792210533749
AT1G03750	0.268486509730962	0.202710455526159	0.286997546184866	0.268633057338584
AT1G03760	0.278960055385303	0.366794278336519	0.36752481261671	0.443744273345594
AT1G03770	0.570524754380505	1.07985628448052	1.58368234727332	0.748898925334832
AT1G03820	1.08335547813094	1.10330109326492	0.459477249668578	1.19755809823588
AT1G03830	0.445077051169735	0.37073851202679	0.347885934734891	0.662862277351799
AT1G03840	0.879857019477369	0.623384132260685	1.1068535737405	0.904614512809834
AT1G03850	0.264825987678917	0.246084072082651	0.469016550785172	0.297542071459376
AT1G03860	0.136175394038379	0.139521738879341	0.131523512581768	0.16481563228977
AT1G03870	0.799400698861629	0.7677021254173	0.207710474829731	0.536598765747441
AT1G03900	0.252424225902094	0.229420386644906	0.235644835828194	0.284245899040482
AT1G03910	0.193793076235925	0.188033581153158	0.182133242256795	0.220271098886102
AT1G03930	0.346557646352139	0.354147833207341	0.259569483462951	0.444805429874147
AT1G03950	0.226566280483474	0.226587787126322	0.227546324154042	0.265484101833308
AT1G03960	0.272031033123106	0.250548990563688	0.202896329210005	0.373811126130298
AT1G03970	0.314827962739948	0.243238608929534	0.234185887663533	0.301974556238922
AT1G03990	0.28450915305636	1.02473191730145	1.01087469154239	1.2397177674429
AT1G04000	0.182265071761043	0.239893411332581	0.195670082757743	0.322048990264244
AT1G04010	0.178187663487778	0.19649688632353	0.168856564687563	0.259731792477879
AT1G04040	0.328348846864276	0.332733244392537	0.260494923422248	0.392497245528997
AT1G04050	1.55746749744083	1.25605564853122	0.573389691838174	1.464470555
AT1G04070	0.552063328585583	0.617062194256081	0.560072998259331	0.864629943203193
AT1G04080	0.340994126120063	0.358843688311061	0.317289762827884	0.398377457003467
AT1G04100	0.854354551326292	0.906322565145959	0.659734826180562	0.676393097103499
AT1G04120	0.188341204608561	0.182715673493726	0.188965295770759	0.225719732486143
AT1G04130	0.242903390444655	0.330788587978437	0.220072313653641	0.28234741763626
AT1G04140	0.200334034077204	0.189508206308751	0.192827174039369	0.231851490553542
AT1G04160	0.370610796104004	0.313267760022225	0.276645257595587	0.387778863091318
AT1G04170	0.208472847194302	0.19929274587814	0.195593484926974	0.240173729342373
AT1G04190	0.178919076579545	0.169189061978659	0.153348261455409	0.192406767412089
AT1G04200	0.175877465611317	0.142076389748121	0.167209269224738	0.185469122072432
AT1G04210	0.131314306385272	0.138736494858333	0.134026046782751	0.154028805252161
AT1G04220	0.264067808605088	0.261129914566657	0.291900511560114	0.330062742104635
AT1G04247	1.83839297480677	1.37269551116761	1.43823528683768	2.08625045598402
AT1G04230	0.209511560176781	0.221926593500025	0.219982905746089	0.255386083313938
AT1G04240	0.312420312166689	0.262054414213771	0.196233883545515	0.291403873613813
AT1G04250	0.250393490106519	0.250618987107272	0.258010025467771	0.310462848010698
AT1G04260	0.181597840052726	0.168822246643317	0.18423569692218	0.204655827182454
AT1G04270	0.168152588785099	0.160824415428312	0.157028718097666	0.194195422329412
AT1G04280	0.294072245434738	0.257447496600375	0.277555597171757	0.288777454845152
