	mock_1	mock_2	mock_3	SUPP1331_1	SUPP1331_2	SUPP1331_3	DC3000_1	DC3000_2	DC3000_3	delta_1	delta_2	delta_3
AT1G02450	3.79708857178144	4.40108393156724	3.53785219988518	7.51460472256797	8.54063371337639	7.89057566470636	6.70890412697716	8.34725455754724	7.4740676793264	8.47059587574618	8.53613553292915	7.57537180475514
AT1G02460	3.85211327229124	4.30233468215184	4.46123091828226	5.66901212615964	5.15050487973316	5.47708940667241	5.52255924270281	5.58433934123062	5.05758197054936	5.27499375529727	5.92967390491308	5.44726697900745
AT1G02470	-5.0577798114788	0.0306259427522165	-1.97220549182209	0.990678127297371	-2.35887426918153	0.321455062780491	0.137728577986075	0.278368820246232	-0.695523326272102	-1.14791198731491	-0.0848389247858096	0.861126287089016
AT1G02475	5.3965194821411	5.50891658864083	5.46955303883403	4.79082556538406	5.23955049134619	5.01651492991093	5.35731801604156	5.07122417260872	4.59970990194984	5.27275006115781	4.59256982469994	4.82713685910799
AT1G02500	7.86052442222113	7.26601038430798	7.71654436546043	10.220335350244	8.52514357570687	8.64672424418758	9.69039767550035	8.78378342959298	9.40505141474643	8.52533818951273	9.00993738377069	9.2477918641515
AT1G02560	6.34895667121292	6.29741248344712	6.23376225954575	5.37659067810972	5.48032951891542	5.07289113975503	5.18591926543261	5.84761685011341	5.35032732530587	5.66544167536413	4.72554368996936	4.69053813001982
AT1G02610	2.12212927853613	3.00186694977079	2.91392654361963	0.208269562369998	1.15208765009585	2.35594343916578	0.568362932315937	2.48000268141588	0.526869095064346	1.24897816525367	1.1131004528261	1.72785975622555
AT1G02660	2.63570714602053	2.67751619261657	3.40531492902859	4.27521980629462	3.33600592361766	4.56447544550367	3.69631566328293	3.87768661394446	4.30747916188942	4.11762492572205	3.82205167082271	3.92679320473801
AT1G02680	4.48331680387072	4.59327006404978	4.17172430108728	4.05225340641833	4.90978468584614	5.28463083187046	4.57126866349135	5.71533015807983	4.93091581042521	4.90953828486899	5.26856740157472	4.40058923966352
AT1G02690	1.13204474740122	0.911981446253598	1.62983052225801	1.83119991329017	-0.28848494129013	1.90641756350165	1.04043137663116	1.70060182092928	1.93674488922741	1.91098170173865	0.956981250908817	2.32825229751631
AT1G02720	2.54955050227081	2.41205504938824	3.38534651279599	1.58678118562373	1.04711809049431	2.78511126727951	2.73310769465257	1.18910148214914	0.255567073246952	2.0220130141274	1.80497815746377	2.32825229751631
AT1G02730	0.0715032054661667	2.19208936544633	1.37018670562499	-0.187659113961141	-0.980362645927798	0.921847604071253	-4.38583337807094	-4.36548736952849	-4.60241392188062	1.51505302540751	-0.0848389247858096	-0.418981632103719
AT1G02740	2.06116126124471	2.41205504938824	2.55135646423492	3.50105131159784	4.33321810624604	3.35025232708793	4.10200665575211	3.46106111776242	4.06647106238563	3.47267442313696	4.14511084772872	3.56807931218878
AT1G02750	3.21368321642557	2.65306314889204	2.16295409145955	3.41616241401133	4.28209364126837	3.06074570989294	3.52705595815902	4.26022147353597	3.66904910602375	3.62819200075825	4.00262391646453	3.44136637756777
AT1G02780	8.30155796204442	8.32258422206011	8.26977765787224	7.89168530940043	8.1142226198925	8.2818307500426	8.17330467757145	8.33906475193379	8.41212967470132	7.96635091327914	7.79456413435139	8.09653048969565
AT1G02816	3.04550799693322	3.39002874305824	2.81289662338839	2.57564062801853	2.97024932711004	2.50681010479241	3.09798239919332	3.52325587936977	2.47440167517021	2.58182203762022	3.15861511207847	2.44608878781017
